Repository,Tag,Base Image,Aliases,Dockerfile
subhamagr/activemq-artemis,2.16.0,openjdk:8u312-jre-slim-buster,,Dockerfile
subhamagr/activemq-artemis,2.17.0,openjdk:18-jdk-slim-buster,,Dockerfile
subhamagr/activemq-artemis,2.18.0,openjdk:18-jdk-slim-buster,,Dockerfile
subhamagr/activemq-artemis,2.19.0,openjdk:18-jdk-slim,subhamagr/activemq-artemis:latest,Dockerfile
